title,year,imdb_score,imdb_votes
Inception,2010,8.8,2707254
Pulp Fiction,1994,8.8,2353225
The Matrix,1999,8.7,2171330
The Lord of the Rings: The Return of the King,2003,9.0,2093374
The Lord of the Rings: The Two Towers,2002,8.8,1888058
Django Unchained,2012,8.5,1806438
Inglourious Basterds,2009,8.4,1700278
Shutter Island,2010,8.2,1564876
Schindler's List,1993,9.0,1535736
The Departed,2006,8.5,1499355
GoodFellas,1990,8.7,1338166
Avengers: Infinity War,2018,8.4,1302024
Kill Bill: Vol. 1,2003,8.2,1259928
American Beauty,1999,8.3,1255133
American History X,1998,8.5,1238705
V for Vendetta,2005,8.1,1220833
Catch Me If You Can,2002,8.1,1177146
The Intouchables,2011,8.5,986827
The Pianist,2002,8.5,976000
A Clockwork Orange,1971,8.2,916448
Black Panther,2018,7.3,881966
Thor: Ragnarok,2017,7.9,863230
Gran Torino,2008,8.1,843732
City of God,2002,8.6,843677
Indiana Jones and the Last Crusade,1989,8.2,843605
Kill Bill: Vol. 2,2004,8.0,842568
The Social Network,2010,7.8,795991
American Psycho,2000,7.6,790084
Silver Linings Playbook,2012,7.7,762002
Trainspotting,1996,8.1,753543
Million Dollar Baby,2004,8.1,750152
Spider-Man: Into the Spider-Verse,2018,8.4,741355
District 9,2009,7.9,738539
Pan's Labyrinth,2006,8.2,728621
The King's Speech,2010,8.0,723542
Casino Royale,2006,8.0,722032
Her,2013,8.0,706386
Jaws,1975,8.1,705983
The Hateful Eight,2015,7.8,697642
Sherlock Holmes,2009,7.5,693199
Into the Wild,2007,8.0,682664
There Will Be Blood,2007,8.2,676875
Spider-Man 3,2007,6.3,674694
Superbad,2007,7.6,669249
Rocky,1976,8.1,665476
The Matrix Reloaded,2003,7.2,655332
Zombieland,2009,7.5,649142
Men in Black,1997,7.3,644090
Nightcrawler,2014,7.8,642920
Zodiac,2007,7.7,642026
"Lock, Stock and Two Smoking Barrels",1998,8.1,638053
Star Trek,2009,7.9,631007
The Pursuit of Happyness,2006,8.0,596634
Monty Python and the Holy Grail,1975,8.2,591279
The Conjuring,2013,7.5,589389
The Perks of Being a Wallflower,2012,7.9,574775
Rain Man,1988,8.0,568779
The Matrix Revolutions,2003,6.7,563403
Kung Fu Panda,2008,7.6,555966
Indiana Jones and the Temple of Doom,1984,7.5,555234
Charlie and the Chocolate Factory,2005,6.7,554386
Rush,2013,8.1,540270
Dallas Buyers Club,2013,7.9,537287
Spotlight,2015,8.1,522119
The Girl with the Dragon Tattoo,2011,7.8,516585
The Help,2011,8.1,516260
Twilight,2008,5.3,510682
Mystic River,2003,7.9,507073
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,505232
Training Day,2001,7.8,499546
The Theory of Everything,2014,7.7,499180
Gangs of New York,2002,7.5,491092
Quantum of Solace,2008,6.5,485074
Scott Pilgrim vs. the World,2010,7.5,484628
Ant-Man and the Wasp,2018,7.0,477228
The Da Vinci Code,2006,6.6,475090
Room,2015,8.1,470450
3 Idiots,2009,8.4,463460
Platoon,1986,8.1,459233
Crash,2004,7.7,456801
The Irishman,2019,7.8,456598
The Game,1997,7.7,455979
Black Hawk Down,2001,7.7,442505
Cloverfield,2008,7.0,435732
Easy A,2010,7.0,433943
The Machinist,2004,7.6,431647
The Lives of Others,2006,8.4,430416
Monty Python's Life of Brian,1979,8.0,429986
Terminator 3: Rise of the Machines,2003,6.3,429863
Ocean's Twelve,2004,6.5,429112
Men in Black II,2002,6.2,421076
About Time,2013,7.8,416318
2012,2009,5.8,412645
Snowpiercer,2013,7.1,409370
Bird Box,2018,6.6,409201
Ferris Bueller's Day Off,1986,7.8,405032
50 First Dates,2004,6.8,401649
The Fighter,2010,7.8,400526
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,399183
Raging Bull,1980,8.1,398182
Solo: A Star Wars Story,2018,6.9,398155
Once Upon a Time in America,1984,8.3,397990
Yes Man,2008,6.8,396666
Jackie Brown,1997,7.5,392386
The Ring,2002,7.1,391723
How to Train Your Dragon 2,2014,7.8,387763
Moon,2009,7.8,387727
Terminator Salvation,2009,6.5,387123
Cloud Atlas,2012,7.4,382186
Ocean's Thirteen,2007,6.9,379524
Click,2006,6.4,374068
Real Steel,2011,7.1,372151
Once Upon a Time in the West,1968,8.5,371412
Total Recall,1990,7.5,371233
National Treasure,2004,6.9,369052
The Interview,2014,6.5,368917
Pineapple Express,2008,6.9,366842
Due Date,2010,6.5,366278
Hellboy,2004,6.9,362897
Marriage Story,2019,7.9,362569
Equilibrium,2002,7.3,356486
Up in the Air,2009,7.4,356247
Les Misérables,2012,7.5,356052
Insidious,2010,6.8,355497
Lady Bird,2017,7.4,353640
The Book of Eli,2010,6.8,353227
50/50,2011,7.6,348809
School of Rock,2003,7.2,347431
Donnie Brasco,1997,7.7,346826
Hugo,2011,7.5,344275
Hitch,2005,6.6,343783
Moonlight,2016,7.4,343730
Kung Fu Panda 2,2011,7.3,342389
Magnolia,1999,8.0,339655
Uncut Gems,2019,7.4,337415
The Witch,2015,7.0,335377
Step Brothers,2008,6.9,332729
Hachi: A Dog's Tale,2009,8.1,331089
Nocturnal Animals,2016,7.4,330415
As Good as It Gets,1997,7.7,330279
Babel,2006,7.5,324753
The Conjuring 2,2016,7.3,321891
Seven Pounds,2008,7.6,321763
The Lobster,2015,7.1,321482
Angels & Demons,2009,6.7,319612
Final Destination,2000,6.7,317378
Grease,1978,7.2,316944
How the Grinch Stole Christmas,2000,6.4,313765
The Twilight Saga: New Moon,2009,4.8,312712
Fear and Loathing in Las Vegas,1998,7.5,311838
Panic Room,2002,6.8,308312
Rango,2011,7.3,307772
Bad Boys,1995,6.8,307310
Scary Movie,2000,6.3,305934
Green Lantern,2011,5.5,304292
Dances with Wolves,1990,8.0,302498
The Place Beyond the Pines,2012,7.3,301845
Olympus Has Fallen,2013,6.5,301383
The Other Guys,2010,6.7,301000
Clash of the Titans,2010,5.8,300356
Wind River,2017,7.7,299274
Grown Ups,2010,6.0,298819
Superman Returns,2006,6.1,298487
Underworld,2003,7.0,295249
John Carter,2012,6.6,294183
Stardust,2007,7.6,293467
Boogie Nights,1997,7.9,292829
"Crouching Tiger, Hidden Dragon",2000,7.9,289315
Train to Busan,2016,7.6,289091
Coraline,2009,7.8,286575
End of Watch,2012,7.6,283260
Blow,2001,7.5,283169
Bad Boys II,2003,6.6,282382
War Dogs,2016,7.1,281795
Lincoln,2012,7.3,279991
Chappie,2015,6.8,278940
GoldenEye,1995,7.2,278676
21,2008,6.8,275563
Cloudy with a Chance of Meatballs,2009,6.9,274644
Unknown,2011,6.8,273858
The Twilight Saga: Eclipse,2010,5.1,272791
A Separation,2011,8.3,271159
Legally Blonde,2001,6.5,270788
Philadelphia,1993,7.7,268046
Hell or High Water,2016,7.6,267591
Austin Powers: International Man of Mystery,1997,7.0,267292
The Bucket List,2007,7.3,267039
Paranormal Activity,2007,6.3,266151
Primal Fear,1996,7.7,265694
The Tourist,2010,6.0,264538
The Boy in the Striped Pajamas,2008,7.7,263936
The Lincoln Lawyer,2011,7.3,263516
What's Eating Gilbert Grape,1993,7.7,263186
The Talented Mr. Ripley,1999,7.4,262975
Ghost Rider,2007,5.3,262769
The Karate Kid,1984,7.3,262414
Madagascar: Escape 2 Africa,2008,6.6,261838
Tarzan,1999,7.3,261089
Lawless,2012,7.2,259500
The Polar Express,2004,6.6,258601
Austin Powers: The Spy Who Shagged Me,1999,6.7,257472
Knowing,2009,6.2,257308
The Impossible,2012,7.5,257235
Mars Attacks!,1996,6.4,253374
The Artist,2011,7.8,252868
No Strings Attached,2011,6.2,251225
The Adventures of Tintin,2011,7.3,250197
Rosemary's Baby,1968,8.0,249939
Captain Fantastic,2016,7.8,245068
Safe House,2012,6.7,244935
Big Daddy,1999,6.4,244697
The Croods,2013,7.1,244353
The Evil Dead,1981,7.4,244127
Chef,2014,7.3,243948
Transcendence,2014,6.2,243836
Rocky II,1979,7.3,242007
Stranger than Fiction,2006,7.5,241665
Bolt,2008,6.8,240438
Mad Max,1979,6.8,239854
Ip Man,2008,8.0,239439
Willy Wonka & the Chocolate Factory,1971,7.8,238399
Rocky IV,1985,6.9,237470
The Ugly Truth,2009,6.4,237427
Anger Management,2003,6.3,236151
Enola Holmes,2020,6.6,235590
Die Another Day,2002,6.1,235557
Basic Instinct,1992,7.1,234342
Get Smart,2008,6.5,234065
Revolutionary Road,2008,7.3,231142
Austin Powers in Goldmember,2002,6.2,230077
Dangal,2016,8.3,229151
Enemy,2013,6.9,228882
Fracture,2007,7.2,228634
A Walk to Remember,2002,7.3,227701
17 Again,2009,6.4,226285
Scream 2,1997,6.3,224559
The Crow,1994,7.5,224213
P.S. I Love You,2007,7.0,222855
You Don't Mess with the Zohan,2008,5.6,222164
Taare Zameen Par,2007,8.3,221333
Rocky III,1982,6.9,221194
Blue Valentine,2010,7.3,219803
Carrie,1976,7.4,219708
Air Force One,1997,6.5,219121
Klaus,2019,8.2,217214
Blue Jasmine,2013,7.3,217160
Legend,2015,6.9,216255
The World Is Not Enough,1999,6.4,215703
Stargate,1994,7.0,213946
The Taking of Pelham 123,2009,6.4,213711
PK,2014,8.1,212788
Harold & Kumar Go to White Castle,2004,7.0,212495
The Next Three Days,2010,7.3,212332
Tomorrow Never Dies,1997,6.5,210788
Madagascar 3: Europe's Most Wanted,2012,6.8,209704
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,208482
Event Horizon,1997,6.6,207349
Bright,2017,6.3,206834
Final Destination 2,2003,6.2,206485
6 Underground,2019,6.1,206376
The Killing of a Sacred Deer,2017,7.0,205727
The Mask of Zorro,1998,6.8,205275
The Invisible Guest,2016,8.0,204567
The Danish Girl,2015,7.1,204052
Puss in Boots,2011,6.6,203529
Layer Cake,2004,7.2,203495
Charlie's Angels,2000,5.6,203095
The Old Guard,2020,6.7,202466
The Trial of the Chicago 7,2020,7.7,201171
Swordfish,2001,6.5,200777
The Naked Gun: From the Files of Police Squad!,1988,7.6,199996
Jupiter Ascending,2015,5.3,199043
Molly's Game,2017,7.4,197913
About a Boy,2002,7.1,196742
Army of the Dead,2021,5.8,196459
Mud,2012,7.4,195616
The Founder,2016,7.2,195008
Cool Hand Luke,1967,8.0,194869
The Bank Job,2008,7.2,194288
The Master,2012,7.1,193554
XXx,2002,5.9,190822
Bee Movie,2007,6.1,190453
Get Him to the Greek,2010,6.3,188548
The Lovely Bones,2009,6.6,187026
The Waterboy,1998,6.2,186674
Zack and Miri Make a Porno,2008,6.5,185049
Resident Evil: Afterlife,2010,5.8,184298
Steve Jobs,2015,7.2,184122
Milk,2008,7.5,183461
Team America: World Police,2004,7.2,182920
Coach Carter,2005,7.3,181789
Murder Mystery,2019,6.1,181724
The Princess and the Frog,2009,7.2,179582
The Last Airbender,2010,4.0,178979
The Ballad of Buster Scruggs,2018,7.2,177833
Beowulf,2007,6.3,177812
Four Weddings and a Funeral,1994,7.1,175404
Scream 3,2000,5.7,175266
ROMA,2018,7.6,174937
Final Destination 3,2006,5.9,174801
Saving Mr. Banks,2013,7.5,173429
Underworld: Rise of the Lycans,2009,6.5,172505
Invictus,2009,7.3,171769
Next,2007,6.2,171594
Wild Wild West,1999,4.9,171142
War Horse,2011,7.2,170116
Snowden,2016,7.3,169153
The Disaster Artist,2017,7.3,169001
Memoirs of a Geisha,2005,7.3,167974
The Green Hornet,2011,5.8,167316
The King,2019,7.3,167311
The Spectacular Now,2013,7.0,166101
The Visit,2015,6.3,166096
Under The Skin,2013,6.3,165362
Rounders,1998,7.3,165277
Locke,2013,7.1,165274
Underworld: Awakening,2012,6.3,165161
Jay and Silent Bob Strike Back,2001,6.8,164514
State of Play,2009,7.1,164410
Crimson Peak,2015,6.5,164404
Hush,2016,6.6,163864
"Love, Rosie",2014,7.1,163724
The Devil All The Time,2020,7.1,162961
The Time Traveler's Wife,2009,7.1,162850
The Lake House,2006,6.8,162393
Dear John,2010,6.3,161462
Cold Mountain,2003,7.2,161231
Remember Me,2010,7.1,160109
Tremors,1990,7.2,159924
Evan Almighty,2007,5.4,159864
Mr. Deeds,2002,5.8,159432
Starsky & Hutch,2004,6.1,159132
Defiance,2008,7.1,159076
I Am Sam,2001,7.6,159018
Labyrinth,1986,7.3,158765
Kung Fu Hustle,2004,7.7,158210
S.W.A.T.,2003,6.1,157735
Killing Them Softly,2012,6.2,157569
Rocky V,1990,5.4,156971
The Imaginarium of Doctor Parnassus,2009,6.7,156255
Stuart Little,1999,6.0,156249
Vantage Point,2008,6.6,156157
Triple Frontier,2019,6.5,155573
The Autopsy of Jane Doe,2016,6.8,155563
Winter's Bone,2010,7.1,155067
A Serious Man,2009,7.0,154907
The Invention of Lying,2009,6.4,154434
9,2009,7.0,153663
Spring Breakers,2012,5.3,152502
The Strangers,2008,6.1,152307
She's Out of My League,2010,6.4,150216
Carol,2015,7.3,149667
Green Room,2015,7.0,148937
Hunt for the Wilderpeople,2016,7.8,148680
Billy Elliot,2000,7.7,148628
Monster House,2006,6.7,148510
Good Time,2017,7.3,148476
Deep Blue Sea,1999,5.9,148349
"Hail, Caesar!",2016,6.3,147215
The Edge of Seventeen,2016,7.3,147167
Den of Thieves,2018,7.0,146916
Chasing Amy,1997,7.2,146802
Green Zone,2010,6.8,145763
Cliffhanger,1993,6.5,145328
Harold & Kumar Escape from Guantanamo Bay,2008,6.5,144491
Accepted,2006,6.4,143247
The Two Popes,2019,7.6,143135
Hairspray,2007,6.7,143131
The Break-Up,2006,5.8,142731
Doubt,2008,7.5,142620
Life as We Know It,2010,6.5,142599
